Name,Weapon Type,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
Atlas,ARs,01/Common,Balance_ATL_AR_01_Common,BODY,1,1,1,Part_ATL_AR_Body,,
Atlas,ARs,01/Common,Balance_ATL_AR_01_Common,BODY ACCESSORY,0,1,1,Part_ATL_AR_Body_A,Part_ATL_AR_Body,
Atlas,ARs,01/Common,Balance_ATL_AR_01_Common,BODY ACCESSORY,0,1,1,Part_ATL_AR_Body_B,Part_ATL_AR_Body,
Atlas,ARs,01/Common,Balance_ATL_AR_01_Common,BODY ACCESSORY,0,1,1,Part_ATL_AR_Body_C,Part_ATL_AR_Body,
Atlas,ARs,01/Common,Balance_ATL_AR_01_Common,BARREL,1,1,1,Part_AR_ATL_Barrel_01,,
Atlas,ARs,01/Common,Balance_ATL_AR_01_Common,BARREL,1,1,1,Part_AR_ATL_Barrel_02,,
Atlas,ARs,01/Common,Balance_ATL_AR_01_Common,BARREL,1,1,1,Part_AR_ATL_Barrel_03,,
Atlas,ARs,01/Common,Balance_ATL_AR_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_ATL_Barrel_01_A,,"Part_AR_ATL_Barrel_02, Part_AR_ATL_Barrel_03"
Atlas,ARs,01/Common,Balance_ATL_AR_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_ATL_Barrel_01_B,,"Part_AR_ATL_Barrel_02, Part_AR_ATL_Barrel_03"
Atlas,ARs,01/Common,Balance_ATL_AR_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_ATL_Barrel_01_C,,"Part_AR_ATL_Barrel_02, Part_AR_ATL_Barrel_03"
Atlas,ARs,01/Common,Balance_ATL_AR_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_ATL_Barrel_02_A,,"Part_AR_ATL_Barrel_01, Part_AR_ATL_Barrel_03"
Atlas,ARs,01/Common,Balance_ATL_AR_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_ATL_Barrel_02_B,,"Part_AR_ATL_Barrel_01, Part_AR_ATL_Barrel_03"
Atlas,ARs,01/Common,Balance_ATL_AR_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_ATL_Barrel_02_C,,"Part_AR_ATL_Barrel_01, Part_AR_ATL_Barrel_03"
Atlas,ARs,01/Common,Balance_ATL_AR_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_ATL_Barrel_03_A,,"Part_AR_ATL_Barrel_01, Part_AR_ATL_Barrel_02"
Atlas,ARs,01/Common,Balance_ATL_AR_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_ATL_Barrel_03_B,,"Part_AR_ATL_Barrel_01, Part_AR_ATL_Barrel_02"
Atlas,ARs,01/Common,Balance_ATL_AR_01_Common,BARREL ACCESSORY,0,1,1,Part_AR_ATL_Barrel_03_C,,"Part_AR_ATL_Barrel_01, Part_AR_ATL_Barrel_02"
Atlas,ARs,01/Common,Balance_ATL_AR_01_Common,TRACKING METHOD,1,1,0.5,Part_AR_ATL_Tracker_01,,
